Name;Title;Publication;Year;G_title;Comment;Meter;Regularity;Rhyme;Type;path
Козлов, И.И.;Солнце красное о прекрасное;NA;1838;NA;NA;Пс2;reg;rhymed;core;corpus_split//152_kozlov_1838_utf8.txt
Козлов, И.И.;Как вечор млада молодешенька;Енисейский альманах. М. (Красноярск), 1828 г.;1828;Кольцо;NA;Пс;reg;unrhymed;core;corpus_split//154_kozlov_1828_utf8.txt
Колоколов, Михаил?;Тучи черные, бродя по небу;Литературная газета 1847. № 28, 19 июля. С. 445;1847;Песня;вот стихотворение г. Михаила К. приславшего три песни, писанные русским размером, которым, как известно, писать гораздо удобнее;Пс2;unreg(перебои);unrhymed;core;corpus_split//155_kolokolov_1847_utf8.txt
Колоколов, Михаил?;Вянет травка осенью;Литературная газета 1848. № 41, 14 октября. С. 645;1848;Песня;мы получили на днях письмо из Тулы следующего содержания: М.Г. Посылаю при сем нигде еще непечатанные два стихотворение милого нашего поэта Кольцова. Я уверен, что Редакция Литературной газеты, как представительница всего изящного, не откажется поместть их в своем издании.;Х3д + Ан1ж;reg;rhymed;core;corpus_split//156_kolokolov_1848_utf8.txt
Колоколов, Михаил?;Пламенея горя;Литературная газета 1848. № 41, 14 октября. С. 646;1848;Песня;NA;Ан2м + Пс;unreg;rhymed;core;corpus_split//157_kolokolov_1848_utf8.txt
Колоколов, Михаил?;Не спеши постой гостья милая;Литературная газета 1848. № 52, 30 декабря. С. 760;1848;Русская песня;NA;Пс;reg;unrhymed;core;corpus_split//158_kolokolov_1848_utf8.txt
Кольцов;Если встречусь с тобой;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 46-47;1827;Песня;NA;Ан2м;reg;unrhymed;core;corpus_split//159_kolcov_1827_utf8.txt
Кольцов;Я затеплю свечу;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 88-89;1830;NA;NA;Ан2м + Ан1д;reg;unrhymed;core;corpus_split//166_kolcov_1830_utf8.txt
Кольцов;Оседлаю коня;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 90-91;1830;NA;NA;Ан2м + Ан1д;reg;unrhymed;core;corpus_split//167_kolcov_1830_utf8.txt
Кольцов;Мне ли молодцу;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 103-105;1833;NA;NA;Пс;reg;unrhymed;core;corpus_split//169_kolcov_1833_utf8.txt
Кольцов;Не шуми ты рожь;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 106;1834;NA;NA;Пс;reg;unrhymed;core;corpus_split//170_kolcov_1834_utf8.txt
Кольцов;Высоко стоит;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 112-114;1836;Молодая жница;NA;Пс;reg;unrhymed;core;corpus_split//172_kolcov_1836_utf8.txt
Кольцов;Сяду я за стол;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 124-125;1837;Раздумье селянина;NA;Пс;reg;unrhymed;core;corpus_split//177_kolcov_1837_utf8.txt
Кольцов;Так ты моя красавица;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 127-129;1837;NA;NA;Я1д;reg;unrhymed;core;corpus_split//178_kolcov_1837_utf8.txt
Кольцов;Не страшна мне добру молодцу;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 151-152;1838;Стенька Разин;NA;Х4д;unreg;unrhymed;core;corpus_split//179_kolcov_1838_utf8.txt
Кольцов;Жарко в небе солнце летнее;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 141-142;1838;Измена суженой (русская песня);NA;Х4д;reg;unrhymed;core;corpus_split//180_kolcov_1838_utf8.txt
Кольцов;Ах зачем меня;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 143-144;1838;Русская песня;NA;Пс;reg;unrhymed;core;corpus_split//181_kolcov_1838_utf8.txt
Кольцов;Ах ты горе горе;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 157-158;1839;Горе;NA;Пс;unreg;unrhymed;core;corpus_split//183_kolcov_1839_utf8.txt
Кольцов;Загрустила запечалилась;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.159-160;1839;Тоска по воле;NA;Х4д;reg;unrhymed;core;corpus_split//184_kolcov_1839_utf8.txt
Кольцов;Говорил мне друг прощаючись;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 167-168;1839;Русская песня;NA;Х4д;reg;unrhymed;core;corpus_split//186_kolcov_1839_utf8.txt
Кольцов;Греет солнышко;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.172-173;1840;Русская песня;NA;Х2д + Я1д;reg;unrhymed;core;corpus_split//187_kolcov_1840_utf8.txt
Кольцов;Не скажу никому;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.173;1840;Русская песня;NA;Ан2м;reg;unrhymed;core;corpus_split//188_kolcov_1840_utf8.txt
Кольцов;Не на радость не на счастие;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.176-177;1840;Русская песня;NA;Х4д;reg;unrhymed;core;corpus_split//190_kolcov_1840_utf8.txt
Кольцов;Дуют ветры;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 178-179;1840;Русская песня;NA;Х2жд;reg;unrhymed;core;corpus_split//192_kolcov_1840_utf8.txt
Кольцов;Как женился я раскаялся;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.180-181;1840;Всякому свой талан;NA;Х4д;reg;unrhymed;core;corpus_split//194_kolcov_1840_utf8.txt
Кольцов;Где вы дни мои;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 181-182;1840;Русская песня;NA;Пс;reg;unrhymed;core;corpus_split//195_kolcov_1840_utf8.txt
Кольцов;Ты прости прощай;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.191;1841;Русская песня;NA;Пс;reg;unrhymed;core;corpus_split//196_kolcov_1841_utf8.txt
Кольцов;Не весна тогда;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.191-192;1841;Русская песня;NA;Пс;reg;unrhymed;core;corpus_split//197_kolcov_1841_utf8.txt
Кольцов;Расступитесь леса темные;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 192-193;1841;Русская песня;NA;Х4д;unreg;unrhymed;core;corpus_split//198_kolcov_1841_utf8.txt
Кольцов;Из лесов дремучих северных;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.195;1841;Русская песня;NA;Х4д;reg;unrhymed;core;corpus_split//200_kolcov_1841_utf8.txt
Кольцов;Ночка темная;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 201-202;1842;NA;NA;Пс;reg;unrhymed;core;corpus_split//201_kolcov_1842_utf8.txt
Кольцов;Так и рвется душа;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 175;1840;Русская песня;NA;Ан2м;reg;rhymed;core;corpus_split//202_kolcov_1840_utf8.txt
Кольцов;Много есть у меня;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 183;1840;Русская песня;NA;Ан2м;reg;rhymed;core;corpus_split//203_kolcov_1840_utf8.txt
Кольцов;Я любила его;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 197-198;1841;Русская песня;NA;Ан2м;reg;rhymed;core;corpus_split//204_kolcov_1841_utf8.txt
Комиссаров, Д.;Ах! Рано затмилося;Северные семена на 1831 год. М., 1831. С. 25-27;1831;Несчастливец;NA;Аф2д;unreg (перебои);unrhymed;core;corpus_split//207_komissarov_1831_utf8.txt
Комиссаров, Д.;Разговор я слышал девичий;Северные семена на 1831 год. М., 1831. С. 49-50;1831;Грусть поселянки;NA;Х4д;unreg (перебои);unrhymed;core;corpus_split//208_komissarov_1831_utf8.txt
Комиссаров, Д.;Ах не долго мне утешаться;Северные семена на 1831 год. М., 1831. С. 95-96;1831;Прощание с отчизной;NA;Пс;unreg (перебои);unrhymed;core;corpus_split//209_komissarov_1831_utf8.txt
Кони, Ф.А.;Не жемчуг дорогой на цветочке блестит;Сборник на 1838 год…СПб., 1838;1831;NA;NA;Ан4м + Ан1ж;reg;rhymed;core;corpus_split//210_koni_1831_utf8.txt
Кони, Ф.А.;Рано цветик рано ты;NA;1833;NA;NA;Х43мж;reg;rhymed;core;corpus_split//211_koni_1833_utf8.txt
Коптев;Друг мой милой красно солнышко мое;Стихотворения…СПб., 1834. С. 58-60 + Моск. курьер. - 1806. - Ч.4, № 43. - С.267-269.;1806;Сельская элегия;NA;Х6м;reg;unrhymed;core;corpus_split//212_koptev_1806_utf8.txt
Красов, В.И.;Уж я с вечера сидела;Поэты кружка Станкевича. М.-Л. 1936. С. 246 (ОЗ., № 6, т. 10. Отд. 3. С. 290);1840;Песня;NA;Х4ж + Пс;unreg(переменная анакруса, дактилич клаузула);rhymed;core;corpus_split//213_krasov_1840_utf8.txt
Красов, В.И.;Ах ты мать моя змея мачеха;Поэты кружка Станкевича. М.-Л. 1936. С. 249-250;1840;Русская песня;NA;Пс2;reg;unrhymed;core;corpus_split//214_krasov_1840_utf8.txt
Красов, В.И.;Уж как в ту ли ночь;Поэты кружка Станкевича. М.-Л. 1936. С. 256-257;1841;Песня;NA;Пс;reg;unrhymed;core;corpus_split//215_krasov_1841_utf8.txt
Красов, В.И.;Со кручинушки шатаясь;Поэты кружка Станкевича. М.-Л. 1936. С. 262 (ОЗ, 1841, № 12);1841;Старинная песня;NA;Х4жм;reg;rhymed;core;corpus_split//216_krasov_1841_utf8.txt
Креницын, А.;Милый друг! Нежный друг!;Невский альманах на 1830 г. СПб., 1830. С. 482-483;1830;Русская пенся;NA;Ан2м;reg;rhymed;core;corpus_split//217_krenicyn_1830_utf8.txt
Кропоткин, Д. Князь;На сторонушку родную;БдЧ, 1837, т. 23, С. 147-148;1837;Сокол;NA;Х4жм;reg;rhymed;core;corpus_split//218_kropotkin_1837_utf8.txt
Кудрявцев, П.Н.???;Соберитесь девы красны;NA;1832;NA;NA;Х4жм;reg;rhymed;core;corpus_split//221_kudryavcev_1832_utf8.txt
Кудряшев, П.М.;Как цветочек от засухи;Вестн. Европы. - 1822. - Май и июнь, N 9/10. - С.87.;1822;NA;На голос ты проходишь, дорогая, мимо кельи;Х4ж + Х2ж;reg;rhymed;core;corpus_split//222_kudryashov_1822_utf8.txt
Кудряшев, П.М.;О касаточка птичка ласточка;Славянин. 1828. Т. 7. № 28, С. 64.;1828;Песня, УД;NA;Пс;reg;rhymed;core;corpus_split//223_kudryashov_1828_utf8.txt
Кудряшев, П.М.;Ах, подруженьки, ах, голубушки;ВЕ, 1823, № 19, с. 165;1823;Песни;NA;Пс2;reg;unrhymed;core;corpus_split//224_kudryashov_1823_utf8.txt
Кудряшев, П.М.;Не вчера ли в хороводе;ВЕ, 1823, № 19, с. 165-166;1823;Песни;NA;Х4жм;reg;rhymed;core;corpus_split//225_kudryashov_1823_utf8.txt
Кукольник, Н.В.;Ходит ветер у ворот;Князь Холмский // Соч. Нестора Кукольника, драматические. Т.2. С. 416;1840;NA;NA;Х4м;reg;rhymed;core;corpus_split//226_kukolnik_1840_utf8.txt
Кукольник, Н.В.;Как взгляну да погляжу;Иван Рябов // Соч. Нестора Кукольника, драматические. Т.2. С. 534;1840;NA;NA;Х43мж;reg;rhymed;core;corpus_split//227_kukolnik_1840_utf8.txt
Л. Вл.;То не лебедь плывет;Славянин. 1827. Ч. 4. № 41. С. 61-62;1827;Песня, УД;см. Смирнова, Ф.;Пс;unreg;unrhymed;core;corpus_split//228_lvl_1827_utf8.txt
Лажечников, И.;Сладко пел душа соловушко;NA;1831;NA;NA;Х4дм;reg;rhymed;core;corpus_split//229_lazhechnikov_1831_utf8.txt
Лардем.;Все бы все бы подле милой я сидел;Календарь муз на 1826 г. СПб., 1826. Стихи. С. 127-128;1826;Русская песня;На голос: Скучно, матушка, весною жить одной;Х6м;reg;rhymed;core;corpus_split//230_lardem_1826_utf8.txt
Лесник;Эх не вовремя тучи мрачные;СО, 1839.  т. 9. Стихотворения. С. 10;1839;Две русские песни;NA;Пс2;reg;occ;core;corpus_split//231_lesnik_1838_utf8.txt
Лесник;Не булатный нож режет грудь мою;СО, 1839.  т. 9. Стихотворения. С. 10-11;1839;Две русские песни;NA;Пс2;reg;unrhymed;core;corpus_split//232_lesnik_1838_utf8.txt
Линдфорс, Н.;Ах скоро ль душа девица;Стихотворения Николая Линдфорса. СПб., 1834. С. 61-62;1834;Русская песня;NA;Я3дм;reg;unrhymed;core;corpus_split//233_lindfors_1834_utf8.txt
Линдфорс, Н.;Что в лесочке пташечка;Стихотворения Николая Линдфорса. СПб., 1834. С 63;1834;Русская песня;NA;Х3д + Пс;reg;unrhymed;core;corpus_split//234_lindfors_1834_utf8.txt
Лисицына, М.;Сердцу милая девица;Лисицына, М. Стихи и проза М. Лисицыной. М., 1829. С. 4-6 + Венера.М., 1831. Подп. ъ + Дамский журнал 1828, кн. 21. с. 32;1828;Песня;NA;Х4жм;reg;unrhymed;core;corpus_split//235_licycina_1828_utf8.txt
М. - С-пъ;Что дитятко, что милое;Лит.прибав. Рус. Инвалид. 1833, № 7, янв. 25, С. 55;1833;Недобрый сон. Русская мелодия;NA;Я3д;reg;occ;core;corpus_split//236_msp_1833_utf8.txt
Маздорф, А.К.;Ноченька мрачная что ты так длишься;Вестн. Европы. - 1818. - Ч.101, N 19. - С.179-180.;1818;Песня;NA;Д4жм;reg;rhymed;core;corpus_split//237_mazdorf_1818_utf8.txt
Макаров, М.Н.;Было время когда грусти я не знал.;Русское национальное песнопение. М., 1809. С. 24-25;1807;NA;-ъ;Х6м;reg;rhymed;core;corpus_split//238_makarov_1807_utf8.txt
Макаров, М.Н.;Говорят, что нет несноснее;Русское национальное песнопение. М., 1809. С. 77-78;1806;NA;-ъ;Х4д;reg;unrhymed;core;corpus_split//239_makarov_1806_utf8.txt
Макаров, М.Н.;Ты не жди меня моя милая;Русское национальное песнопение. М., 1809. С. 102-103;1807;NA;-R. На голос: Ты душа моя, красна девица. Посвящена от автора Ктрн. Алксвн. Крлвой в 24 день ноября 1807;Пс;reg;unrhymed;core;corpus_split//240_makarov_1807_utf8.txt
Макаров, М.Н.;Если б знал я красна девица душа;Русское национальное песнопение. М., 1809. С. 170-172;1808;NA;-въ;Х6м;reg;rhymed;core;corpus_split//241_makarov_1808_utf8.txt
Макаров, М.Н.;Грусть тиранит сердце бедного;Русское национальное песнопение. М., 1809. С. 232-233;1805;NA;-въ;Х4д;reg;occ;core;corpus_split//242_makarov_1805_utf8.txt
Макаров, М.Н.;Вечор был я у Никитских у ворот;Русское национальное песнопение. М., 1809. С. 274-275;1809;NA;.ъ На голос: вечер был я на почтовом на дворе и проч.;Х6м;reg;occ;core;corpus_split//243_makarov_1809_utf8.txt
Макаров, М.Н.;Ты здесь была - я рай вкушал;Русское национальное песнопение. М., 1809. С. 275-276;1809;NA;.ъ На голос: АХ девица, красавица!;Я34дм;unreg;rhymed;core;corpus_split//244_makarov_1809_utf8.txt
Макаров, М.Н.;Расцветайте в саду алые цветы;Русское национальное песнопение. М., 1809. С. 330-331;1808;NA;-ва. На голос: тошно матушка весною жить одной (Местечко роздянька);Х6м;reg;rhymed;core;corpus_split//245_makarov_1808_utf8.txt
Макаров, М.Н.;Вечор я у милого радостью была;Русское национальное песнопение. М., 1809. С. 332;1808;NA;- ва. (местечко роздянька);Аф4м;unreg, перебои;occ;core;corpus_split//246_makarov_1808_utf8.txt
Макаров, М.Н.;Ты напрасно по Никитской проходил;Русское национальное песнопение. М., 1809. С. 391-392;1809;NA;- а - я - а - я (ответ на Вечор был я у Никитских у ворот. На с. 393 помещна с некоторыми разночтениями песня Грамматина Проходи ты лето красное скорей под той же подписью;Х6м;reg;occ;core;corpus_split//247_makarov_1809_utf8.txt
Макаров, М.Н.;Среди лесов;ВЕ, 1823, № 9, с. 26-29;1823;Князь Славянский в плену;типа черногорские песни, с 25. списана слово в слово;Аф1д;unreg(Я1д + Я2м?);unrhymed;core;corpus_split//248_makarov_1823_utf8.txt
Макаров, М.Н.;Владислав! Душа-надежда;ВЕ, 1823, № 9, с. 24-26;1823;Владислав и Людмила;NA;Х43ж;reg;unrhymed;core;corpus_split//249_makarov_1823_utf8.txt
Малышев, Г.;Буйный ветер воет;Стихотворения. М., 1848. С. 3-4;1828;Песня русского воина под Варною, в 1828 году;NA;Х32ж;unreg;unrhymed;core;corpus_split//250_malyshev_1828_utf8.txt
Малышев, Г.;Еду в бой кровавый;Стихотворения. М., 1848. С. 15-16;1848;Разлука;NA;Х3ж;reg;rhymed;core;corpus_split//251_malyshev_1848_utf8.txt
Малышев, Г.;В высоком тереме;Стихотворения. М., 1848. С. 26-27;1848;Моей невесте;NA;Я3ж + Я2д;unreg;rhymed;core;corpus_split//252_malyshev_1848_utf8.txt
Малышев, Г.;По дорожке пыль столбом летит;Стихотворения. М., 1848. С. 30;1848;Русская песня;NA;Х5м + Х4м;reg;rhymed;core;corpus_split//253_malyshev_1848_utf8.txt
Мартынов, В.;Вы скажите мне люди добрые;Литературная газета 1843. № 40, 10 окт. С. 716-717;1843;Две русские песни;NA;Пс;unreg;unrhymed;core;corpus_split//254_martynov_1843_utf8.txt
Междуделье;Появилася туча черная;Междуделье. М., 1848. С. 48-50;1848;Туча;NA;Пс2;reg;unrhymed;core;corpus_split//255_mezhdudelie_1848_utf8.txt
Междуделье;Ты раздолье наше, темный лес;Междуделье. М., 1848. С. 60-64;1848;Дума разбойника;NA;Х4д;unreg;unrhymed;core;corpus_split//256_mezhdudelie_1848_utf8.txt
Междуделье;Не ужель от  твоих очей;Междуделье. М., 1848. С. 109-110;1848;NA;NA;Ан2д;unreg;rhymed;core;corpus_split//257_mezhdudelie_1848_utf8.txt
Междуделье;Бусурманский ворожей, Скобей Ящерин;Междуделье. М., 1848. С. 148;1848;Песня (Из древней рукописи);NA;Тактовик-3;unreg;unrhymed;core;corpus_split//258_mezhdudelie_1848_utf8.txt
Междуделье;Ах и где еще такой есть молодец;Междуделье. М., 1848. С. 149-150;1848;Свадебная песня (употреблявшаяся в старину на сговорах);NA;Тактовик-3;unreg;unrhymed;core;corpus_split//259_mezhdudelie_1848_utf8.txt
Мерзляков;Среди долины ровныя;Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 57-58;1810;NA;NA;Я3дм;reg;rhymed;core;corpus_split//260_merzlyakov_1810_utf8.txt
Мерзляков;Я не думала ни о чем в свете тужить;Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 58-59;1806;NA;NA;Х6м;unreg;rhymed;core;corpus_split//261_merzlyakov_1806_utf8.txt
Мерзляков;Не липочка кудрявая;Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 60-61;1810;NA;NA;Аф2дж + Я3д;unreg;unrhymed;core;corpus_split//262_merzlyakov_1810_utf8.txt
Мерзляков;Вылетала бедная пташка на долину;Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 61-62;1810;NA;NA;Х6ж;reg;unrhymed;core;corpus_split//263_merzlyakov_1810_utf8.txt
Мерзляков;Ах что ж ты голубчик;Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 62-63;1806;NA;NA;Ан +Аф;unreg;unrhymed;core;corpus_split//264_merzlyakov_1806_utf8.txt
Мерзляков;Чернобровый черноглазый;Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 63-64;1806;NA;NA;Х43ж;unreg;unrhymed;core;corpus_split//265_merzlyakov_1806_utf8.txt
Мерзляков;Что не девица во тереме своем;Мерзляков, А.Ф. Стихотворения. Л., 1958. С.64-65;1805;NA;NA;Х6м;reg;rhymed;core;corpus_split//266_merzlyakov_1805_utf8.txt
Мерзляков;Чтомне делать в тяжкой участи своей;Мерзляков, А.Ф. Стихотворения. Л., 1958. С.64-66;1805;Сельская элегия;NA;Х6м;reg;unrhymed;core;corpus_split//267_merzlyakov_1805_utf8.txt
Мерзляков;Ах девица красавица;Мерзляков, А.Ф. Стихотворения. Л., 1958. С.66-67;1806;NA;NA;Дк3д;unreg;unrhymed;core;corpus_split//268_merzlyakov_1806_utf8.txt
Мерзляков;Тошно девице ждать мила друга;Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 67-68;1810;Ожидание;NA;Пс2;unreg;unrhymed;core;corpus_split//269_merzlyakov_1810_utf8.txt
Мерзляков;Для чего летишь соловушко к садам;Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 69-70;1810;Соловушко;NA;Х6м;reg;rhymed;core;corpus_split//270_merzlyakov_1810_utf8.txt
Мерзляков;Под березой где прозрачный ключ шумит;Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 71;1810;NA;NA;Х6м;reg;rhymed;core;corpus_split//271_merzlyakov_1810_utf8.txt
Мерзляков;Мой безмолвный друг опять к тебе иду;Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 72;1810;NA;NA;Х6м;reg;rhymed;core;corpus_split//272_merzlyakov_1810_utf8.txt
Минаев, Д.;Как по морю было синему;Новогодник. Собрание сочинений в прозе и стихах…СПб., 1839. С. 363-364;1839;Песня;NA;Ан3д;unreg (пербои, цезурн усечения);unrhymed;core;corpus_split//273_minaev_1839_utf8.txt
Мочалов, П.С.;Ах ты солнце солнце красное;NA;1842;NA;NA;Х4д;reg;unrhymed;core;corpus_split//275_mochalov_1842_utf8.txt
Мочалов, П.С.;Старый бор черный бор;NA;1842;NA;NA;Ан2м;unreg;rhymed;core;corpus_split//276_mochalov_1842_utf8.txt
Мочалов, П.С.;Дайте слово, научите;Литературный кабинет. М., 1842. 1842 Ч. 2. С. 11-12;1842;Русское спасибо;NA;Х4жм + Х4д + Пс2;unreg;unrhymed;core;corpus_split//277_mochalov_1842_utf8.txt
Мятлев, И.П.;Что ты ветка бедная;Мятлев, И.П. Стихотворения. Л., 1969. С. 58;1834;Плавающая ветка;NA;Х3дм;reg;rhymed;core;corpus_split//278_myatlev_1834_utf8.txt
Мятлев, И.П.;Молодая пташечка;Мятлев, И.П. Стихотворения. Л., 1969. С. 62-63;1839;NA;NA;Х3дм;reg;rhymed;core;corpus_split//279_myatlev_1839_utf8.txt
Н. В.;Есть заветная светлица;СО, 1840. т. 3. С. 591-592;1840;Светлица;NA;Х4жм;reg;rhymed;core;corpus_split//280_nv_1840_utf8.txt
Н.Ш. (м.б. Н. Шигаев. (Рассказы и повести. Перев. 4. ч. Спб. 1835. );Вот стоит она лебедь белая;БдЧ. 1841, Т. 44. Стих. С. 104.;1841;Русская красавица;NA;Пс2;unreg;unrhymed;core;corpus_split//281_nsh_1841_utf8.txt
Надеждина, Э.;Говорил мне мил сердечный друг когда-то;Невский альбом. СПб., 1838. С. 160;1831;Локон;NA;Х6ж;reg;unrhymed;core;corpus_split//282_nadezhdina_1831_utf8.txt
Нетанов;Прочь тоска змея;Литературная газета 1848. № 15, 15 апреля. С. 228;1848;Песня;NA;Пс;reg;unrhymed;core;corpus_split//286_netanov_1848_utf8.txt
Ниркомский;Матушка голубушка;БдЧ, 1838, т.29. Стихотворения. С. 51-52;1838;NA;NA;Х3дм;reg;rhymed;core;corpus_split//287_nirkomskiy_1838_utf8.txt
Ниркомский;Ты не плачь, родимый батюшка;БдЧ. 1838, т. 29.Стихотв. С. 52-53;1838;Три русские песни (Ниркомский + Д. Пельский);NA;Х4д;unreg;unrhymed;core;corpus_split//288_nirkomskiy_1838_utf8.txt
О - л - а.;Красавице-девице любить не велили;Литературная газета. 1840. №  75, сент 11 С. 1582, 1645-1646;1840;Русская песня;(из собрания рязанских простонародных песен);Аф4жм;unreg;rhymed;core;corpus_split//289_o-l-a_1840_utf8.txt
О - л - а.;Я вечор млада;Литературная газета. 1840. №  75, сент 11 С. 1582, 1646-1647;1840;Цыганская песня;(Из собрания старых и новых цыганских песен);Пс;reg;occ;core;corpus_split//290_o-l-a_1840_utf8.txt
Ободовский, П.Г.;Ты не плачь не тоскуй;Памятник отеч.муз 1827. С. 197-198;1827;Русская песня;NA;Ан2м;unreg (цезурн наращение? Х4мжм);rhymed;core;corpus_split//291_obodovsky_1827_utf8.txt
Ободовский, П.Г.;Не плачь не плачь красавица;Вперв. Невск. Альманах на 1830 г. СПб., 1829;1829;Песня;NA;Я3дм;reg;rhymed;core;corpus_split//292_obodovsky_1829_utf8.txt
Ободовский, П.Г.;Что туман клубится облаком;Карманная книжка для любителей русской старины и словесности. СПб., 1829 (ц.р. 18 марта 1829). С. 393-394;1829;Тверская песня;NA;Х4д;reg;unrhymed;core;corpus_split//293_obodovsky_1829_utf8.txt
Одоевский, А.И.;По дороге столбовой;Полное собрание стихотворений князя А.И. Одоевского. СПб., 1883. С. 87-88;1831;На приезд в сибирь к жениху (Э.П. Ивашевой);NA;Х4мд;reg;rhymed;core;corpus_split//295_odoevsky_1831_utf8.txt
Остолопов, Н.Ф.;Ах не лебедь ходит белая;Остолопов. Прежние досуги, М. 1816. С. 61-62;1802;Бедная дуня;NA;Х4д;reg;unrhymed;core;corpus_split//298_ostolopov_1802_utf8.txt
Остолопов, Н.Ф.;Не бушуйте ветры буйные;Остолопов. Прежние досуги, М. 1816. С. 75-76 (В. Полевых цветах на 1828 г. - С.245-246. типа украл А. Сергеев напечатал текст, внизу подписал Бурная полночь. 14 октября 1815 г.;1805;NA;NA;Х4д;reg;unrhymed;core;corpus_split//299_ostolopov_1805_utf8.txt
Остолопов, Н.Ф.;Солнце красное оставь ты небеса;Остолопов. Прежние досуги, М. 1816. С. 76-77 + Вестн. Европы. 1816.  Ч.89, N 19 20. С.207. + Любитель словесности.  1806. Ч.1,  N 3. С.269.;1806;NA;(На голос простонародной песни: Скучно, грустно мне в деревне жить одной);Х6м;reg;rhymed;core;corpus_split//300_ostolopov_1806_utf8.txt
П. Н. - въ.;Была пора когда цветы;Русский альманах на 1832 и 1833 годы. СПб., 1832;1832;Русская песня;NA;Я3д;reg;unrhymed;core;corpus_split//301_pnv_1832_utf8.txt
