Name;Title;Publication;Year;G_title;Comment;Meter;Regularity;Rhyme;Type;path
П.Я. (14.33);Кто со мной молодой;Цинтия на 1832. М., 1831. С. 86-87;1831;Песня;надо проверять ценз. Разрешение? Указан 7 февраля, 1830. Опечатка?;Х223ммж;reg;rhymed;core;corpus_split//302_pja_1831_utf8.txt
Панаев, В.И.;Не спеши моя красавица постой;Поэты 1820-1830-х гг. Л., 1972. Т.1.С. 197 (Памятн. Отеч. Муз на 1827 г., с. 14) Рус. Инвалид. Лит прибавл. 1835 № 5, 16 янв. С. 39;1827;NA;NA;Х6м;reg;rhymed;core;corpus_split//304_panaev_1827_utf8.txt
Панаев, В.И.;Скажи мне, родимая;Поэты 1820-1830-х гг. Л., 1972. Т.1.С. 197-198 (Невский альманах на 1827. СПб., 1826. С. 98-99. Ценз. Разр. Октября 27);1826;Мать и дочь (опыт русской идиллии);NA;Аф2д;reg;unrhymed;core;corpus_split//305_panaev_1826_utf8.txt
Пельский, Д.;Радость дней моих;БдЧ. 1838, т. 29.Стихотв. С. 53-54;1838;Три русские песни (Ниркомский + Д. Пельский);NA;Пс;reg;unrhymed;core;corpus_split//306_pelskiy_1838_utf8.txt
Переведенцев, М.;Эй вы соколики;Литературная газета 1848. № 32, 12 августа. С. 503;1848;Песня русского ямщика на чужбине;NA;Д23дм;reg;rhymed;core;corpus_split//307_perevedencev_1838_utf8.txt
Петров, И.;Березонька ль кудрявая;Лит.прибав. Рус. Инвалид. 1832, № 48. С. 383 + Утреняя звезда. М., 1834. кн. 1. С. 162-163 с названием Заветное кольцо. Русская песня;1832;Русская песня (Красноярск);NA;Я3д;reg;occ;core;corpus_split//308_petrov_1832_utf8.txt
Подолинский, А.И.;Что в сыром бору от солнышка;Подолинский. Сочинения. Т.1. 1860. С.278-279;1837;Русская песня;NA;Х4д;unreg;unrhymed;core;corpus_split//309_podolinsky_1837_utf8.txt
Полежаев, А.И.;У меня ль молодца;NA;1832;NA;NA;Х3м;reg;rhymed;core;corpus_split//310_polezhaev_1832_utf8.txt
Полежаев, А.И.;Там на небе высоко;NA;1832;NA;NA;Х4м;reg;rhymed;core;corpus_split//311_polezhaev_1832_utf8.txt
Полежаев, А.И.;Мне наскучило девице;NA;1835;NA;NA;Х4жжм;unreg;rhymed;core;corpus_split//312_polezhaev_1835_utf8.txt
Полежаев, А.И.;Разлюби мне покинь меня;NA;1836;NA;NA;Х4д;reg;rhymed;core;corpus_split//313_polezhaev_1836_utf8.txt
Полежаев, А.И.;Долго ль будет вам без умолку идти;NA;1836;NA;NA;Х6м + Х4м;unreg;rhymed;core;corpus_split//314_polezhaev_1836_utf8.txt
Политковский, Г.Г.;Понесися по поднебесью;СО, 1813, № 52, с. 293-294;1813;Песня петерубргских жителей на отъезд Царицы-Матушки к Царю-Батюшке. Декабря 19 дня 1813;NA;Пс2 + Х4д;unreg;unrhymed;core;corpus_split//315_politkovsky_1813_utf8.txt
Пороховой, А.;Отворю окно посмотрю я в даль;Литературная газета 1843. № 40, 10 окт. С. 717;1843;Две русские песни;NA;Пс;reg;unrhymed;core;corpus_split//316_porohovoy_1843_utf8.txt
Почтенная дама;Ты спокойся сердце бедное;Амфион. - 1815. - Книжка 6. - С.112-115.;1815;Песня;присылкою сих стихов удостоила нас неизвестная почтенная дама;Х4д;reg;unrhymed;core;corpus_split//317_pochtennaya.dama_1815_utf8.txt
Пуговишников, А.М.;Красна девица печальна и бледна;Пуговишников М., 1838. Романсы, песни и стихотворения;1838;Русская песня;NA;Х6м;reg;rhymed;core;corpus_split//318_pugovishnikov_1838_utf8.txt
Пуговишников, А.М.;Что же делать? Житье горько;Пуговишников М., 1838. Романсы, песни и стихотворения;1838;Русская песня;NA;Х43ж;reg;rhymed;core;corpus_split//319_pugovishnikov_1838_utf8.txt
Пуговишников, А.М.;А с чего же мне теперь;Пуговишников М., 1838. Романсы, песни и стихотворения;1838;Русская песня (национальная, веселая);NA;Х43мж;unreg (перебои, неурег.клаузула);unrhymed;core;corpus_split//320_pugovishnikov_1838_utf8.txt
Пуговишников, А.М.;Вот теперь-то я молодчик;Пуговишников М., 1838. Романсы, песни и стихотворения;1838;Русская элегия;(ОРЛОВ? См. Простонар. Песни 1832);Х43ж;unreg (перебои);unrhymed;core;corpus_split//321_pugovishnikov_1838_utf8.txt
Пуговишников, А.М.;Ветер, резкий ветерок;Пуговишников М., 1838. Романсы, песни и стихотворения;1838;Русская песня;NA;Х43ж;unreg;occ;core;corpus_split//322_pugovishnikov_1838_utf8.txt
Пуговишников, А.М.;Добрый молодец я в поле;Пуговишников М., 1838. Романсы, песни и стихотворения;1838;Русская песня;NA;Х4жм;reg;rhymed;core;corpus_split//323_pugovishnikov_1838_utf8.txt
Пуговишников, А.М.;Течет речка, речка быстрая;Пуговишников М., 1838. Романсы, песни и стихотворения;1838;Русская песня;NA;Х4д;reg;occ;core;corpus_split//324_pugovishnikov_1838_utf8.txt
Пуговишников, А.М.;Сердцу милый, друг любезный;Пуговишников М., 1838. Романсы, песни и стихотворения;1838;Русская песня;NA;Х43ж;reg;rhymed;core;corpus_split//325_pugovishnikov_1838_utf8.txt
Пуговишников, А.М.;Судьба гонит горемыку;Феномен. Альманах. М., 1832. С. 17-19;1832;Русская песня;NA;Х43ж;reg;rhymed;core;corpus_split//326_pugovishnikov_1832_utf8.txt
Пуговишников, А.М.;Во поле мятель;Феномен. Альманах. М., 1832. С. 20-23;1832;Русская песня;NA;Аф2мж;unreg (перебои,пер.анакруса, Тактовик-2?);unrhymed;core;corpus_split//327_pugovishnikov_1832_utf8.txt
Пушкин;Девицы красавицы;NA;1824;NA;NA;Х3д;reg;unrhymed;core;corpus_split//328_pushkin_1824_utf8.txt
Размахнин, П.Е.;Дуня дуня друг сердечный;Заволжский муравей. 1832, Казань. № 2. С. 81-82.;1832;Русская песня;Пермь.;Х4жм;reg;rhymed;core;corpus_split//329_razmahnin_1832_utf8.txt
Римский-Корсаков, А.Я.;Я пойду косить;Подснежник на 1829 г., с. 186.;1829;Песня;NA;Пс;reg;unrhymed;core;corpus_split//331_rimskykorsakov_1829_utf8.txt
Розен, Е.Ф.;Ягодка ль спелая;Поэты 1820-1830-х гг. Л., 1972. Т.1.С. 570-571 + Альциона, СПб., 1832. с. 43;1831;Песня;NA;Д24дж;reg;rhymed;core;corpus_split//332_rozen_1832_utf8.txt
Ростопчина, Е.П.;Дайте крылья мне перелетные;Утренняя заря. СПб., 1840;1831;Простонародные песни (в сб 1841) + Опыты простонародных мелодий (утр. Заря);NA;Пс2;reg;unrhymed;core;corpus_split//333_rostopchina_1831_utf8.txt
Ростопчина, Е.П.;Тучи черные сбираются;Утренняя заря. СПб., 1840;1831;Простонародные песни (в сб 1841) + Опыты простонародных мелодий (утр. Заря);NA;Пс2;reg;rhymed;core;corpus_split//334_rostopchina_1831_utf8.txt
Ростопчина, Е.П.;Темно-русые кудри милого;Утренняя заря. СПб., 1840;1831;Простонародные песни (в сб 1841) + Опыты простонародных мелодий (утр. Заря);NA;Пс2;reg;rhymed;core;corpus_split//335_rostopchina_1831_utf8.txt
Рябинин, П.;Затмись месяц, затмись полный ты сей час;Северные семена на 1831 год. М., 1831. С. 39-40;1831;Русская песня;NA;Х6м;reg;rhymed;core;corpus_split//336_ryabinin_1831_utf8.txt
Рябинин, П.;На раките воробей;Северные семена на 1831 год. М., 1831. С. 97-98;1831;Русская песня;NA;Х4мж;reg;rhymed;core;corpus_split//337_ryabinin_1831_utf8.txt
Свиньин, П.П.;Река быстрая серебристая;СО, 1834, т.42. с. 555-557;1834;Закамская песня;Закамская эта песня существует между простым народом, но не в том облагороженном виде, в каком она здесь является. Она извлечена из нового романа П.П.Свиньина - Ермак, который в непродолжительном времени поступит в печать;Пс;reg;occ;core;corpus_split//338_svinin_1834_utf8.txt
Серебрянский, А.;Гори гори лучинушка;Серебрянский. Дни нашей жизни. Воронеж, 2001. С. 19-20;1838;К лучине (русская песня);NA;Я3дм + Х3м;unreg;unrhymed;core;corpus_split//340_serebryansky_1838_utf8.txt
Слепушкин;Гори гори лучинушка;NA;1828;NA;NA;Я3д + Аф2ж;reg;rhymed;core;corpus_split//341_slepushkin_1828_utf8.txt
Смирнов, П.;Ах! Судьба ль моя несчастная;Литературный кабинет. М., 1842 Ч. 2. С. 69;1842;Посв. А.П. Славину;NA;Х4д;reg;unrhymed;core;corpus_split//342_smirnov_1842_utf8.txt
Смирнов, П.;Не дивитесь, люди добрые;Литературный кабинет. М., 1842 Ч. 2. С. 70-71;1842;Посв. А.П. Славину;NA;Х4д;unreg (цез.наращение, Пс);unrhymed;core;corpus_split//343_smirnov_1842_utf8.txt
Смирнов, Ф.;Не павлин плывет;Вестник Европы. 1822. № 7. С. 218-220;1822;Песня;см. Л.Вл.;Пс;reg;unrhymed;core;corpus_split//344_smirnov.f_1822_utf8.txt
Соколовский, В.;Мой замочек витой мой замочек витой;Литературная газета 1843. № 5. С. 93;1843;Две русские песни;NA;Ан42м;reg;rhymed;core;corpus_split//345_sokolovsky_1843_utf8.txt
Соколовский, В.;Ах ты пеночка пенка моя;Литературная газета 1843. № 5. С. 93;1843;Две русские песни;NA;Ан34мж;reg;rhymed;core;corpus_split//346_sokolovsky_1843_utf8.txt
Соловьев, С.П.?;Ты не плачь, не тоскуй;Лит. Каб. 1842 Ч. 2. С. 45;1842;Русские песни;NA;Ан2м + Х3ж;reg;rhymed;core;corpus_split//347_solovjev_1842_utf8.txt
Соловьев, С.П.?;Ах, ты ночь ли моя;Литературный кабинет. М., 1842 Ч. 2. С. 46;1842;Русские песни;NA;Пс;unreg (гипердакт);unrhymed;core;corpus_split//348_solovjev_1842_utf8.txt
Соловьев, Ф.;Ненаглядная бессравненная;Зимцерла. М., 1829. С. 89-92 (цен.разр. Марта 8);1829;Русская песня;NA;Пс;reg;unrhymed;core;corpus_split//349_solovjev.f_1829_utf8.txt
Сомов, О.;Полно, сердце! Успокойся на часок;Поэты 1820-1830-х гг. Л., 1972. Т.1.С. 219-220;1821;Песенка, УД;NA;Х6м;reg;rhymed;core;corpus_split//350_somov_1821_utf8.txt
Срезневский, И.И.;Дуют ветры, дуют буйно, и деревья гнутся;Галатея, 1838, ч. 6., с. 323-324;1838;Песня Наталки Полтавки;NA;Х7ж (Х4 + Х3);reg (сверхсхемные);rhymed;core;corpus_split//351_sreznevskiy_1838_utf8.txt
Степанов, С. (Саратов);Где ты где ты друг мой милой;Календарь муз на 1826 г. СПб., 1826. Стихи. С. 159-160;1826;Песня;NA;Х43ж;reg;occ;core;corpus_split//352_stepanov_1826_utf8.txt
Стромилов, С.Н.;То не ветер ветку клонит;NA;1840;NA;NA;Х4жм;reg;rhymed;core;corpus_split//353_stromilov_1840_utf8.txt
Стромилов, С.Н.;Собрались мы к боярину;NA;1846;NA;NA;Ан2д;reg;rhymed;core;corpus_split//354_stromilov_1846_utf8.txt
Стромилов, С.Н.;Ветер, ветер одинокий!;Московский наблюдатель 1837. Ч.13, № 9;1837;Песня (написано в альбом гр. Ив. Комынина);NA;Х4жм;reg;rhymed;core;corpus_split//355_stromilov_1837_utf8.txt
Суханов, М.Д.;Красна девица сидела под окном;Памятник отеч.музам. СПб., 1827. Стихи. 138-139;1828;NA;NA;Х6м;reg;rhymed;core;corpus_split//356_suhanov_1828_utf8.txt
Суханов, М.Д.;Что ты девица невесело сидишь;NA;1828;NA;NA;Х6м;reg;rhymed;core;corpus_split//357_suhanov_1828_utf8.txt
Суханов, М.Д.;Нет полно девице грустить;СО.1830. Т. 12. №22. С. 249;1828;NA;NA;Я43м;reg;rhymed;core;corpus_split//358_suhanov_1828_utf8.txt
Суханов, М.Д.;В последний раз я говорила;Лит.прибав. Рус. Инвалид. 1835, № 33, апрель 24, С. 264;1835;Русская песня;NA;Я43жм;reg;rhymed;core;corpus_split//359_suhanov_1835_utf8.txt
Суханов, М.Д.;Частой рощицей, весенниим вечерком;Славянин. 1827. Ч. 1. № 13. С. 272-273;1827;Русская песня;NA;Х6м;reg;rhymed;core;corpus_split//360_suhanov_1827_utf8.txt
Суханов, М.Д.;Не крушися красна девица;Славянин, 1828, ч.6, № 21, с. 313-314;1828;Русская песня;NA;Х4дм;unreg;unrhymed;core;corpus_split//361_suhanov_1828_utf8.txt
Суханов, М.Д.;Сидела Аннушка в светлице;Славянин, 1828, ч.6, № 23, с. 397-398;1828;Русская песня;NA;Я43жм;reg;rhymed;core;corpus_split//362_suhanov_1828_utf8.txt
Тимофеев, А.В.;Ах вы ветры ветры буйные;Поэты 1820-1830-х гг. Л., 1972. Т.2. С.594-595;1833;NA;NA;Х4д;reg;unrhymed;core;corpus_split//364_timofeev_1833_utf8.txt
Тимофеев, А.В.;Оседлаю коня коня быстрого;Поэты 1820-1830-х гг. Л., 1972. Т.2. С.642-643;1838;Тоска;NA;Ан3д;reg;unrhymed;core;corpus_split//365_timofeev_1838_utf8.txt
Тимофеев, А.В.;Борода ль моя бородушка;Поэты 1820-1830-х гг. Л., 1972. Т.2. С.643-644;1843;NA;NA;Х4д;reg;unrhymed;core;corpus_split//366_timofeev_1843_utf8.txt
Тимофеев, А.В.;Не женись на умнице;Поэты 1820-1830-х гг. Л., 1972. Т.2. С.642;1837;Выбор жены. Русская песня;NA;Х3дм;reg;rhymed;core;corpus_split//367_timofeev_1837_utf8.txt
Тимофеев, А.В.;Соловей ты наш соловушко;NA;1835;NA;NA;Х4д;reg;unrhymed;core;corpus_split//368_timofeev_1835_utf8.txt
Тимофеев, А.В.;Не судите люди люди добрые;Песни Т.м.ф.в.а. СПб., 1835. С. 49-50;1833;NA;NA;Х4д;unreg;unrhymed;core;corpus_split//369_timofeev_1833_utf8.txt
Тимофеев, А.В.;Нас венчали не в церкви;Песни Т.м.ф.в.а. СПб., 1835. С. 55-57;1835;Свадьба;NA;Аф2м;unreg(полиметрические вставки Ан2м);rhymed;core;corpus_split//370_timofeev_1835_utf8.txt
Тимофеев, А.В.;Что все рвется ноешь бедное;Песни Т.м.ф.в.а. СПб., 1835. С. 101-102;1835;Сердце (Е.И.И-вой);NA;Х4д;reg;unrhymed;core;corpus_split//371_timofeev_1835_utf8.txt
Титов;Ах ты, матушка, земля русская;БдЧ. 1839, т.35. Стихотворения. С. 20-22;1839;Ярославская песня;NA;Пс2;unreg;unrhymed;core;corpus_split//373_titov_1839_utf8.txt
Траум;Заведи мне, пташечка;БдЧ. 1839, т. 34. Стихотв. С. 16.;1839;Русская песня;NA;Х3дм;reg;unrhymed;core;corpus_split//374_traum_1839_utf8.txt
Трилунный, Д.Ю.;Видел я две звездочки;ЛГ 1831 № 24;1831;NA;NA;Х3д;reg;unrhymed;core;corpus_split//375_trilunniy_1831_utf8.txt
Трилунный, Д.Ю.;О чем горюешь девица;Лит.прибав. Рус. Инвалид. 1832, № 49. С. 390;1832;Песня;NA;Я3дж;reg;rhymed;core;corpus_split//376_trilunniy_1832_utf8.txt
Трилунный, Д.Ю.;Волны стонут, ветер воет;Лит.прибав. Рус. Инвалид. 1832, № 54. С. 430;1832;Песня;NA;Х43ж;reg;rhymed;core;corpus_split//377_trilunniy_1832_utf8.txt
Туманский, В.;Легкий вешний ветерок;М8, 1829, № 2. С. 151;1825;NA;NA;Х4м;reg;rhymed;core;corpus_split//378_tumanskiy_1825_utf8.txt
Ф.И.;Вейся вейся желтый хмель;Московский Телеграф, 1826, Ч. 11, отд.2, с. 7;1826;Русская песня;NA;Х43мж;reg;unrhymed;core;corpus_split//379_fi_1826_utf8.txt
Федоров, Б.М.;Что мне нужды;Невский альманах на 1825 г. СПб., 1825. С. 123-124;1825;Сельская любовь;NA;Х24жм;unreg;unrhymed;core;corpus_split//380_fedorov_1825_utf8.txt
Федоров, Б.М.;Что ты рано моя пташечка;СО, 1829, т.6.  ч.128, с. 177;1829;Сельская песня;NA;Х6ж;unreg (Х4дж + Х2, Я1д);occ;core;corpus_split//381_fedorov_1829_utf8.txt
Филимонов, В.С.;Вечор был я в Лизаветином дворе;NA;1810;Песня;на голос: вечор был я на почтовом на дворе;Х6м;reg;rhymed;core;corpus_split//382_filimonov_1810_utf8.txt
Филимонов, В.С.;Разлучились мы голубушка с тобой;NA;1810;Песня;NA;Х6м;reg;rhymed;core;corpus_split//383_filimonov_1810_utf8.txt
Хомяков, А.С;Гой красна земля Володимира;NA;1830;Русская песня;NA;Пс2;reg;unrhymed;core;corpus_split//384_homyakov_1830_utf8.txt
Хотяинцов, П.;Дружно, братцы! В круговую!;Лит.прибав. Рус. Инвалид. 1835, № 47, июнь 12, С. 375;1835;Солдатская песня;на голос: за горами, за долами;Х42жжм;reg;reg;core;corpus_split//386_hotyaincev_1835_utf8.txt
Цыганов, Н.Г.;Не сиди мой друг, поздно вечером;NA;1828;NA;NA;Пс + Пс2;unreg;unrhymed;core;corpus_split//387_cyganov_1828_utf8.txt
Цыганов, Н.Г.;Ах спасибо же тебе;NA;1832;NA;NA;Х4жм;unreg;rhymed;core;corpus_split//388_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Что ты рано травушка;NA;1830;NA;Рус. Инвалид. Лит. Приб. 1833, № 31, апрель 19 - под подписью N.N. С разночтениями;Х32дж;unreg;rhymed;core;corpus_split//389_cyganov_1830_utf8.txt
Цыганов, Н.Г.;Не сокол летит по поднебесью;NA;1830;NA;Рус. Инвалид. Лит. Приб. 1833, № 15, февраля 25 - под подписью N.N.;Пс2;unreg;unrhymed;core;corpus_split//390_cyganov_1830_utf8.txt
Цыганов, Н.Г.;Не кукушечка во сыром бору;NA;1832;NA;NA;Пс2 + Ан1ж;reg;rhymed;core;corpus_split//391_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Рассудите мне люди добрые;NA;1832;NA;NA;Пс;reg;unrhymed;core;corpus_split//392_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Что ты соловушко;NA;1832;NA;NA;Х3дм;reg;rhymed;core;corpus_split//393_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Ох болит да щемит;NA;1832;NA;NA;Ан1м + Х3ж;reg;rhymed;core;corpus_split//394_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Не шей ты мне матушка;NA;1832;NA;NA;Х3дм;unreg (перебои, Аф2д);rhymed;core;corpus_split//395_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Что это за сердце;NA;1832;NA;NA;Х3ж;unreg (перебои, сверхсхемные);rhymed;core;corpus_split//396_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Смолкни, пташка-канарейка;NA;1832;NA;NA;Х4жм;reg;rhymed;core;corpus_split//397_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Красен в полях, цветен в лугах;NA;1832;NA;NA;Я3д;unreg (перебои);occ;core;corpus_split//398_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Жавороночек на проталинке;NA;1832;NA;NA;Пс + Ан1ж;reg;rhymed;core;corpus_split//399_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Что это за пташечка;NA;1832;NA;NA;Я3д +Аф2д;unreg (перебои);rhymed;core;corpus_split//400_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Не туманами не мглой;NA;1832;NA;NA;Х43мж;reg;rhymed;core;corpus_split//401_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Ах ты время времечко;NA;1832;NA;NA;Х32дж;reg;rhymed;core;corpus_split//402_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Ты подуй подуй;NA;1832;NA;NA;Пс + Ан1ж;reg;rhymed;core;corpus_split//403_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Без поры да без времени;NA;1832;NA;NA;Ан2д;unreg (тактовик в рефрене);rhymed;core;corpus_split//404_cyganov_1832_utf8.txt
Цыганов, Н.Г.;По полю полю чистому;NA;1832;NA;NA;Я3дм;reg;rhymed;core;corpus_split//405_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Я посею молоденька;NA;1832;NA;NA;Х43ж;unreg (перебои);rhymed;core;corpus_split//406_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Рано рано вы лазоревы цветы;NA;1832;NA;NA;Х6м;reg;rhymed;core;corpus_split//407_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Ах не пташечка;NA;1832;NA;NA;Пс + (Пс + Ан2ж);unreg;occ;core;corpus_split//408_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Ах чарка моя;NA;1832;NA;NA;Аф2мж;unreg (гипердакт);rhymed;core;corpus_split//409_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Лежит в поле дороженька;NA;1832;NA;NA;Я3д + Ан1ж;unreg;rhymed;core;corpus_split//410_cyganov_1832_utf8.txt
Цыганов, Н.Г.;При долинушке береза;NA;1832;NA;NA;Х43ж;unreg;rhymed;core;corpus_split//411_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Брезжит месяц молодой;NA;1832;NA;NA;Х4мж;reg;rhymed;core;corpus_split//412_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Ахти беда-неволюшка;NA;1832;NA;NA;Я3д;reg;rhymed;core;corpus_split//413_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Ах не звездочка сияет;NA;1832;NA;NA;Х4жм;reg;rhymed;core;corpus_split//414_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Полетай соловьюшко;NA;1832;NA;NA;Ан2д;unreg (хореич);occ;core;corpus_split//415_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Ах об чем ты Машенька;NA;1832;NA;NA;Х4жм;reg;rhymed;core;corpus_split//416_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Перелетная пичужечка;NA;1832;NA;NA;Х4д;reg;rhymed;core;corpus_split//417_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Ах ты ночка моя ноченька;NA;1832;NA;NA;Х4д;unreg;occ;core;corpus_split//418_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Течет речка по песочку;NA;1832;NA;NA;Х43ж;unreg (перебои);rhymed;core;corpus_split//419_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Ночь осенняя хоть глаза коли темна;NA;1832;NA;NA;Х6м;unreg (нарушения в зачине, перебои);rhymed;core;corpus_split//420_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Ах ты рощица;NA;1832;NA;NA;Пс;reg;occ;core;corpus_split//421_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Каркнул ворон на березе;NA;1832;NA;NA;Х5жм;reg;rhymed;core;corpus_split//422_cyganov_1832_utf8.txt
Цыганов, Н.Г.;У соловушки одна песенка;NA;1832;NA;NA;Пс2;unreg;occ;core;corpus_split//423_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Сизокрылый голубочек;NA;1832;Русская элегия;NA;Х4жм;reg;occ;core;corpus_split//424_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Хороша ты красна девушка;NA;1832;NA;NA;Х4д;unreg (перебои в дольник);occ;core;corpus_split//425_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Ах молодость молодость;Эхо, лит. Альманах. 1830, М.;1830;NA;NA;Аф2д;unreg (перебои, пер. анакруса);occ;core;corpus_split//426_cyganov_1830_utf8.txt
Цыганов, Н.Г.;Соловей мой соловеюшко;NA;1832;NA;NA;Х4д;reg;occ;core;corpus_split//427_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Молви Любушка голубушка моя;NA;1832;NA;NA;Х6м;reg;rhymed;core;corpus_split//428_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Не цветочком отцвела;NA;1832;NA;NA;Х4ммжм;reg;rhymed;core;corpus_split//429_cyganov_1832_utf8.txt
Цыганов, Н.Г.;Как за реченькой слободушка стоит;NA;1832;NA;NA;Х6м;reg;rhymed;core;corpus_split//430_cyganov_1832_utf8.txt
Цыганов, Н.Г. ???;Молодая молодка;Литературная газета 1840 , 31 августа, № 70 С. 1582;1840;Русская песня;NA;Ан2ж + Аф2м;reg;rhymed;core;corpus_split//431_psevdocyganov_1840_utf8.txt
Чижов, П.;В путь далекий, в путь унылый;Лит.прибав. Рус. Инвалид. 1833, № 37май 10, С. 295;1833;Разлука;NA;Х4жм;reg;rhymed;core;corpus_split//432_chizhov_1833_utf8.txt
Шаликов, П.И.;Нынче был я на почтовом на дворе;NA;1801;NA;NA;Х6м;reg;unrhymed;core;corpus_split//433_shalikov_1801_utf8.txt
Шаховской;Не стружок на водах;из Сокол князя Ярослава Тверского;1823;NA;NA;Ан2м + Х3ж;reg;rhymed;core;corpus_split//434_shahovskoi_1823_utf8.txt
Шаховской;Ах всходи ты солнце красное;из Сокол князя Ярослава Тверского;1823;NA;NA;Х4д + Пс2;unreg;rhymed;core;corpus_split//435_shahovskoi_1823_utf8.txt
Шаховской;Скучно, скучно за всегда мне быть одной;из Крестьяне или встреча незваных;1815;NA;на голос: скучно, матушка;Х6м;reg;rhymed;core;corpus_split//436_shahovskoi_1815_utf8.txt
Шаховской;Я и рада бы не плакала млада;из Крестьяне или встреча незваных;1815;NA;NA;Х6м;reg;rhymed;core;corpus_split//437_shahovskoi_1815_utf8.txt
Шаховской;Не сокол в небесах;из Крестьяне или встреча незваных;1815;NA;поет на голос: во донских во лесках;Ан2м + Х3ж;reg;rhymed;core;corpus_split//438_shahovskoi_1815_utf8.txt
Шаховской;Вверх по Волге с Нижня города;Двумужница;1832;NA;NA;Пс2;unreg;occ;core;corpus_split//439_shahovskoi_1832_utf8.txt
Шаховской;Под кустиком под ракитовым;двумужница, 1836 с. 172;1832;NA;NA;Пс2 + Х6м;unreg unreg;unrhymed;core;corpus_split//440_shahovskoi_1832_utf8.txt
Шаховской;Не знавал я рода племени;двумужница, 1836 с. 173-174 + Комета Белы. СПб., 1832.;1832;Песня атамана Башлыка;NA;Пс2 + Х4д;unreg unreg;unrhymed;core;corpus_split//441_shahovskoi_1832_utf8.txt
Шевырев, С.П.;Атаман честной мой отец родной;Поэты 1820-1830-х гг. Л., 1972. Т.2. С. 160-162;1827;Русская разбойничья песня;NA;Гм;unreg;rhymed;core;corpus_split//442_shevyriov_1827_utf8.txt
Шевырев, С.П.;Не невеста с женихом;MB, 1827, ч. 5, с. 242. (под подп. Пушкин - в Эвтерпа 1837 г.);1827;Супруги (военная песня)?;NA;Х43мж;reg;rhymed;core;corpus_split//443_shevyriov_1827_utf8.txt
Штейнберг, Д.;Что ты девица что ты красная;Зимцерла. М., 1829. C.26-28 (цен.разр. Марта 8);1829;Русская песня;NA;Пс;reg;unrhymed;core;corpus_split//444_steinberg_1829_utf8.txt
Ю.;Темно в поле, вьюга воет;СО, 1834, т. 42, № 16, с.557;1834;Песня;на мелодию? Слишком жесткая структура строфы;Х43жм + Я2м в рефр;reg;rhymed;core;corpus_split//445_yu_1834_utf8.txt
Яковлев, М.Л.;Солнце красное взошло на небеса;Памятник отеч.муз на 1828 г., с .148-149;1828;NA;NA;Х6м;reg;rhymed;core;corpus_split//447_yakovlev_1828_utf8.txt
Якубович, Л.А.;Над Дунаем над рекою;Поэты 1820-1830-х гг. Л., 1972. Т.2. С. 266-267;1832;Заветные слова;NA;Х4жм;reg;rhymed;core;corpus_split//448_yakubovic_1832_utf8.txt
