CONTROL_SOBOLEVSKY_1;CONTROL_SOBOLEVSKY_2;CONTROL_SOBOLEVSKY_3;KIREYEVSKY_1;KIREYEVSKY_2;KIREYEVSKY_3;PESENNIKI_1;PESENNIKI_2;PESENNIKI_3;RUSCORPORA_1;RUSCORPORA_2;RUSCORPORA_3;RUSSKIE_PESNI_1;RUSSKIE_PESNI_2;RUSSKIE_PESNI_3;SOBOLEVSKY_FULL_1;SOBOLEVSKY_FULL_2;SOBOLEVSKY_FULL_3
я;0.60910335889697;0.517737855062424;0.959337790262726;-0.274096511503637;-0.365462015338182;-0.350234431365757;0.913655038345455;1.0659308780697;1.26388946971121;-1.87299282860818;-1.62935148504939;-1.85776524463576;0.791834366566061;0.700468862731515;0.517737855062424;-0.411144767255455;-0.60910335889697;0.0304551679448485
не;0.380236942160694;1.00421551391158;0.458234263629554;0.165744308121328;0.263240959957403;-0.0877469866524678;0.00974966518360734;-0.00974966518360734;0.692226228036136;-2.01818069300676;-1.99868136263955;-1.45270011235752;1.04321417464601;1.17970948721651;1.41370145162309;-0.282740290324619;-0.497232924363985;-0.263240959957404
в;-1.07605374505098;-1.09530719178152;-0.902772724476172;-0.59471757678762;-0.941279617937241;-0.344422769290672;-0.0171141748715863;0.0406461653200172;-0.0748745150631898;1.34988054299636;1.00331850184674;2.19703219913988;1.25361330934369;0.560489227044448;0.984065055116207;-0.960533064667776;-0.498450343134948;-0.883519277745638
ты;-0.623141921704868;-0.821226770988535;-0.400296466260743;0.0949156569484235;-0.202211616977077;-0.202211616977077;0.73869141712034;0.317761112392548;0.367282324713465;-1.11835404491403;-1.58880556196274;-1.66308738044412;1.60531263273638;1.58055202657592;1.72911566353867;-0.226972223137535;-0.0784085861747848;0.491085355515756
на;0.481411716929177;0.769386097448744;0.481411716929177;0.638488651758031;0.455232227791034;0.847924564863171;-0.0421780658336737;0.219616825547751;0.324334782100321;-1.90092179464179;-1.58676792498408;-1.24643456618823;-0.749024272563522;-1.40351150101708;-0.644306316010951;0.900283543139456;1.24061690193531;1.21443741279717
и;-0.757347943804604;-0.685825052994096;-0.707281920237248;-0.642911318507791;-0.678672763913045;-0.678672763913045;-0.356819755265758;-0.263839997212097;-0.235230840887894;1.83893299261685;2.22515660299359;2.13217684493993;0.136688191326749;0.186754214894105;0.1438404804078;-0.535626982292029;-0.557083849535181;-0.564236138616232
мой;0.994115848447522;0.790194648765979;1.27450749800964;-0.280391649562121;-0.101960599840772;0.254901499601929;0.662743898965015;0.484312849243664;0.994115848447522;-1.96274154693485;-1.98823169689504;-1.86078094709408;0.17843104972135;0.17843104972135;0.407842399363086;0.127450749800964;-0.53529314916405;0.382352249402893
с;-1.5051543369736;-1.15970907930753;-0.764914499117733;0.123373306309311;0.172722628833036;0.123373306309311;-0.616866531546559;-0.51816788649911;-0.320770596404211;0.271421273880486;0.912962466688908;0.567517209022834;1.65320230454478;1.75190094959223;1.65320230454478;-0.814263821641458;-1.20905840183126;-0.320770596404211
что;-0.464189604335719;0.182681070093412;-1.38058972644365;-0.679813162478763;-0.0329424880496314;-1.48840150551518;0.991269413129827;1.26079886080863;2.12329309338081;-0.679813162478763;-1.21887205783637;-0.0329424880496314;1.15298708173711;0.721739965451022;0.775645854986783;-0.733719052014524;-0.140754267121153;-0.356377825264197
он;-1.14286737976357;-1.1057345046088;-0.623007127596748;-0.325944126358564;-0.697272877906294;-0.511608502132429;-0.40020987666811;-0.288811251203791;-0.363077001513336;1.41930100591577;2.60755301086851;1.82776263261827;0.268181876117805;0.453846251891671;-0.103146875429925;-0.548741377287202;-0.251678376049018;-0.214545500894244
по;1.24449474643267;0.569937995543192;1.04774902742324;0.7104706519785;1.10396208999736;1.10396208999736;0.457511870394946;0.204553088811392;-0.132725286633346;-1.45373225712524;-1.65047797613467;-1.65047797613467;-0.891601631384008;-1.17266694425462;-0.694855912374577;0.120233494950207;0.513724932969069;0.569937995543192
быть;-0.122980121753275;1.58756157172409;0.581360575560933;-1.12918111791643;0.380120376328302;-1.12918111791643;0.681980675177249;-0.626080619834852;1.28570127287514;1.28570127287514;0.0782600774793564;0.88322087440988;0.983840974026195;-1.73290171561432;-0.726700719451168;-0.424840420602221;-0.726700719451168;-1.12918111791643
во;0.575658873217317;0.845116218127551;0.551162750952751;0.943100707185818;0.453178261894484;0.796123973598418;0.575658873217317;0.820620095862984;0.306201528307084;-1.38403090794802;-1.45751927474172;-1.40852703021259;-1.23705417436062;-1.35953478568345;-1.26155029662518;1.06558131850865;0.551162750952751;0.624651117746451
то;0.596897454985938;0.346200523891844;0.202945134695219;0.346200523891844;0.632711302285095;0.883408233379189;-0.298448727492969;0.059689745498594;0.0238758981994377;-1.15798106267272;-0.835656436980314;-1.40867799376681;-1.22960875727103;-1.3370502991685;-1.0147256734761;0.704338996883407;2.02945134695219;1.45642979016569
как;-1.43712726409951;-0.479042421366504;-0.958084842733006;-0.766467874186406;-1.14970181127961;-2.01197816973931;0.766467874186405;0.0958084842733007;0.670659389913104;0.958084842733006;0.287425452819902;1.34131877982621;1.14970181127961;0.670659389913104;1.24551029555291;0.191616968546601;0.191616968546601;-0.766467874186406
за;0.485632742380887;0.865693149461581;0.97971127158579;1.13173543441807;0.447626701672818;0.447626701672818;0.219590457424401;0.29560253884054;1.20774751583421;-1.30065117089838;-1.79472970010328;-1.49068137443872;-1.1486270080661;-1.22463908948224;-0.844578682401543;0.333608579548609;0.561644823797026;0.827687108753512
у;1.20725345851047;0.943453006271458;1.40510379768972;0.349901988733686;0.547752327912944;0.382877045263563;0.547752327912944;0.283951875673934;0.250976819144058;-1.33182589429;-1.62860140305888;-1.69455151611864;-1.29885083776012;-0.936125215931485;-0.80422498981198;0.613702440972696;0.349901988733686;0.811552780151953
а;-0.163326219190313;0.13066097535225;0.424648169894812;0.0571641767166093;1.45360335079378;1.01262255897994;0.718635364437374;-0.383816615097235;0.571641767166093;-1.48626859463184;-1.85375258781005;-1.045287802818;-0.971791004182359;-0.677803809639796;-0.971791004182359;1.01262255897994;0.792132163073015;1.38010655215814
милый;-0.395400466556855;-0.154954236893903;-0.347311220624265;0.662562943960136;0.277848976499412;0.325938222432003;0.854919927690499;1.3358123870164;0.95109841955568;-1.88616709046716;-1.88616709046716;-1.88616709046716;0.181670484634231;0.758741435825318;0.662562943960136;0.374027468364593;-0.539668204354627;0.710652189892727
да;1.73794769864711;1.42605279759379;1.76913718875244;-0.351748138410134;0.209662683485843;-0.0710427274621452;-0.60126405925279;-0.663643039463454;-0.382937628515466;-1.13148539104343;-1.16267488114877;-1.22505386135943;-0.694832529568786;-0.570074569147458;-0.788400999884782;0.677505035065823;0.989399936119144;0.833452485592483
ли;1.08990283913648;0.0726601892757655;0.217980567827297;0.217980567827297;0.581281514206124;0.508621324930359;0.871922271309185;0.363300946378828;-0.363300946378827;-1.8891649211699;-2.17980567827296;-2.03448529972143;0;0.435961135654593;0.145320378551531;0.363300946378828;0.726601892757654;0.871922271309185
молодец;0.582347764998049;0.406912455040478;-0.0316758198534502;0.494630110019263;0.845500729934406;0.0999006626147281;-0.119393474832236;-0.0755346473428431;0.319194800061692;-1.87374657440795;-1.96146422938673;-1.91760540189734;0.0999006626147281;0.187618317593514;-0.470264094747379;1.45952431478591;1.15251252236016;0.801641902445013
к;-1.43842121574591;-1.13201196268761;-1.13201196268761;-1.28521658921676;0.859648182191342;0.859648182191342;0.553238929133041;0.246829676074741;1.01285280872049;1.01285280872049;0.553238929133041;1.16605743524964;0.706443555662192;0.400034302603891;0.553238929133041;-0.672398083100159;-0.365988830041859;-1.89803509533336
она;-1.35540347185476;-0.771426444087548;-1.29051713543618;0.00720959293539769;0.00720959293539769;-0.64165377125039;-0.511881098413233;-0.252335752738918;-1.09585812618044;2.21334503116708;0.526300284284028;1.30493632130697;0.980504639214079;1.49959533056271;0.591186620702607;-0.446994761994654;-0.511881098413233;-0.252335752738918
весь;-0.115742710779136;-0.28935677694784;-1.67826930629747;-0.810198975453952;1.79401201707661;1.79401201707661;1.4467838847392;0.752327620064385;-0.462970843116545;0.231485421558273;1.09955575240179;-0.636584909285248;-0.636584909285248;-1.15742710779136;0.0578713553895684;-0.636584909285248;-0.462970843116545;-0.28935677694784
вы;-1.56986499269386;-0.851452199427178;-0.971187664971625;1.30378618037287;0.465637921561738;0.106431524928397;1.06431524928397;-0.37251033724939;-0.133039406160497;-0.731716733882731;0.106431524928397;-0.37251033724939;-0.0133039406160497;-0.492245802793837;-1.21065859606052;-0.133039406160497;1.9024635080951;1.9024635080951
мы;-1.19675888581536;-1.68634206637618;-0.90300897747886;0.467823928091458;-0.0217592524693703;0.467823928091458;-1.39259215803969;-0.511342433030198;-1.58842543026402;0.467823928091458;1.05532374476445;1.93657346977394;0.467823928091458;0.369907291979292;0.565740564203623;0.85949047254012;0.467823928091458;0.174074019754961
свой;-0.304798196544864;-0.942747910243416;-0.687568024763995;-0.0496183110654429;-0.0496183110654429;-0.177208253805154;0.460741459893399;-0.177208253805154;-0.177208253805154;2.11941071550964;1.48146100181108;2.11941071550964;-0.559978082024285;-0.432388139284575;-1.45310768120226;-1.19792779572284;0.0779716316742677;-0.0496183110654429
красный;-0.29640238232543;-0.182886576328457;-0.750465606313323;0.214418744660949;0.327934550657922;1.06578728963825;0.611724065650355;0.895513580642789;0.157660841662463;-2.05589737527851;-1.77210786028608;-1.94238156928154;0.838755677644302;0.554966162651869;0.781997774645815;0.725239871647329;0.725239871647329;0.100902938663976
друг;-0.135222609837916;-0.759326962935988;-0.0728121745281087;-0.0728121745281087;-0.634506092316373;-0.759326962935988;0.488881743260156;-0.0728121745281087;0.0520086960915058;-0.572095657006566;-0.384864351077145;-0.884147833555602;2.48601567317399;1.54985914352688;1.92432175538572;-0.572095657006566;-0.946558268865409;-0.634506092316373
ах;-0.346757926379564;-0.198147386502608;-0.346757926379564;-0.681131641102715;-0.82974218097967;-0.792589546010431;1.99385807668249;1.6223317269901;1.73378963189782;-1.08981062576434;-1.0526579907951;-1.12696326073358;0.730668487728367;0.656363217789889;0.693515852759128;-0.272452656441086;-0.346757926379564;-0.346757926379564
тот;-0.877423127703642;-1.59531477764298;-0.51847730273397;1.09677890962955;-0.159531477764298;-1.59531477764298;0.917305997144716;1.63519764708406;1.81467055956889;-0.877423127703642;-0.339004390249134;0.0199414347205364;-0.159531477764298;-0.339004390249134;-0.159531477764298;1.27625182211439;0.199414347205372;-0.339004390249134
бы;2.27442226688458;1.78043010032141;1.40993597539904;-0.257287586751649;-0.68953073249442;-0.0720405242904617;-0.0102915034700659;0.545449683913496;0.174955558991121;-1.24527191987798;-0.936526815776003;-1.30702094069838;0.236704579811517;-0.380785628392441;0.05145751735033;0.113206538170725;-0.936526815776003;-0.751279753314815
девица;-0.289237798553374;-0.289237798553374;-0.513163836143083;-0.625126854937937;-0.121293270361092;-0.065311760963665;0.718429370600316;0.83039238939517;1.11029993638231;-1.68877553348905;-1.74475704288648;-1.80073855228391;1.27824446457459;0.942355408190025;1.05431842698488;0.494503333010607;0.83039238939517;-0.121293270361092
уж;0.279251949637145;1.06115740862115;0.0558503899274291;2.40156676687945;0.61435428920172;1.61966130789544;-0.61435428920172;-1.06115740862115;-1.39625974818573;-0.949456628766295;-1.06115740862115;-0.837755848911436;-0.390952729492004;0.167551169782287;-0.61435428920172;0.0558503899274291;0.502653509346862;0.167551169782287
со;0.132911426052909;-0.0120828569139007;-0.229574281364115;0.567894274953337;-0.15707713988071;0.277905709019718;0.495397133469932;0.567894274953337;0.640391416436741;-0.954545696198162;-1.5345228280654;-1.67951711103221;-0.592059988781138;-0.809551413231352;-1.24453426213178;1.5103571142376;1.36536283127079;1.65535139720441
любить;-0.517578974876144;-0.213782620057538;-0.517578974876144;0.393810089579674;0.191279186367271;1.30519915403549;2.11532276688511;1.30519915403549;0.697606444398281;-1.02390623290715;-1.73276439415057;-1.02390623290715;-0.0112517168451336;-0.82137532969475;0.393810089579674;-0.517578974876144;-0.922640781300952;0.900137347610684
сердце;-0.319609651398625;-0.366765173736127;-0.508231740748633;-0.791164874773645;-0.413920696073629;-0.791164874773645;-0.225298606723621;-0.178143084386119;-0.0838320397111147;-0.555387263086135;-0.272454129061123;0.104790049638894;2.36825512183899;1.94385542080147;1.99101094313897;-0.508231740748633;-0.602542785423637;-0.791164874773645
все;-1.26241465541132;-1.17887250909734;-1.01178821646937;-0.0928246070155385;-0.67761963121343;-0.510535338585461;-0.259908899643507;-0.00928246070155389;-0.0928246070155385;1.24384973400821;1.24384973400821;1.41093402663618;0.909681148752275;1.24384973400821;1.57801831926415;-0.761161777527414;-1.09533036278335;-0.67761963121343
белый;0.915914297743298;0.781330972360609;0.444872658903887;1.92528923811346;1.05049762312599;0.781330972360609;0.17570600813851;-0.2953356307009;-0.2953356307009;-1.77575220991047;-1.64116888452779;-1.77575220991047;-0.228043968009556;-0.160752305318211;-0.2953356307009;-0.362627293392244;0.108414345447166;0.646747646977921
из;-0.262847560613173;-0.381128962889101;-0.144566158337245;-0.735973169716885;-0.499410365165029;-0.499410365165029;1.39309207124982;0.919966462146107;0.565122255318323;0.446840853042395;-0.262847560613173;-1.44566158337245;-1.32738018109653;-0.617691767440957;-1.32738018109653;1.98449908262946;1.15652926669796;1.03824786442203
ни;-0.532360651003324;-0.645095847686381;0.594991315827245;2.73696005280532;0.820461709193358;1.38413769260864;0.0313153324119607;0.0313153324119607;-0.194155060954153;-0.194155060954153;-1.54697742115083;-0.419625454320267;-0.419625454320267;0.369520922461131;0.369520922461131;-0.532360651003324;-0.30689025763721;-1.54697742115083
пойти;0.300973655581966;0.170430865209065;0.431516445954868;0.69260202670067;1.21477318819227;1.47585876893808;-0.221197505909638;0.300973655581966;-0.155926110723188;-1.5918968048251;-1.5918968048251;-1.39608261926575;-0.939182852960594;-0.678097272214792;-0.873911457774143;0.953687607446472;0.431516445954868;1.47585876893808
молодой;0.29922685932961;0.501204989377097;0.164574772631286;1.37644355291621;0.837835206122908;1.10713937951956;0.366552902678772;0.0972487292821234;-0.104729400765363;-1.45125026774861;-1.31659818105028;-1.45125026774861;-1.1146200510028;-1.18194609435196;-0.979967964304472;0.568531032726259;1.44376959626537;0.837835206122908
от;-0.399913707013433;-0.676777042638117;-0.0307625928471873;-0.953640378262801;-0.21533814993031;-0.584489264096555;-0.492201485554994;-0.953640378262801;-0.861352599721239;0.615251856943742;0.892115192568426;0.430676299860619;1.81499297798404;2.55329520631653;0.707539635485304;-0.123050371388749;-0.769064821179678;-0.953640378262801
они;-0.919824446922883;-0.854895662434209;-0.789966877945535;-0.789966877945535;-0.465322955502165;-0.595180524479513;-0.0757502485701198;-0.140679033058794;-0.140679033058794;1.67732693262408;2.1318284240448;2.26168599302215;0.313822458361925;-0.140679033058794;0.119036104895903;-0.725038093456861;-0.270536602036142;-0.595180524479513
твой;-1.31137537690652;-0.809146509155089;-1.11048382980595;-0.407363414953942;-0.708700735604803;0.195311226347781;-0.206471867853367;0.496648546998641;0.195311226347781;0.496648546998641;1.90288937670266;1.19976896185065;0.998877414750076;1.50110628250151;0.697540094099215;-1.21092960335624;-0.909592282705376;-1.01003805625566
кто;1.36903965834346;0.876185381339814;1.36903965834346;-0.848804588172945;-0.109523172667477;-1.4648724344275;-1.4648724344275;-0.725591018922033;-1.21844529592568;1.73868036609619;0.752971812088903;0.0136903965834347;0.0136903965834347;0.383331104336169;0.50654467358708;0.383331104336169;-0.972018157423856;-0.602377449671122
душа;-1.13034524963666;-1.42629018772335;-1.27831771868001;0.201406971753442;-0.612441607984955;-0.612441607984955;-0.316496669898265;-0.0945379663332481;-0.316496669898265;0.645324378883476;0.423365675318459;0.941269316970165;1.82910413123023;1.3851867241002;1.82910413123023;-0.612441607984955;-0.7604140770283;-0.0945379663332481
один;-2.04949941250675;-0.896655992971701;-1.12722467687871;0.256187426563343;1.8701682139124;-0.204949941250675;0.0256187426563338;-0.666087309064692;0.0256187426563338;0.486756110470352;0.717324794377361;1.8701682139124;0.486756110470352;0.486756110470352;0.256187426563343;-1.35779336078572;-0.204949941250675;0.0256187426563338
сам;0.609894307981125;1.27523355305144;1.49701330140822;-0.055444937089193;-0.277224685445966;0.942563930516285;1.16434367887306;-0.166334811267579;0.16633481126758;0.0554449370891933;-0.942563930516285;-1.27523355305144;-1.82968292394338;-1.49701330140822;-1.16434367887306;0.277224685445966;0.831674056337898;0.388114559624353
ко;0.9306758276605;1.11785085445256;0.369150747284333;-0.285961846487863;0.743500800868444;1.02426334105653;-0.00519930629977937;0.181975720492276;0.462738260680361;-1.59618703403226;-1.59618703403226;-1.78336206082431;-0.847486926864031;-0.660311900071975;-0.847486926864031;0.9306758276605;0.743500800868444;1.11785085445256
под;-0.869340568087011;0.638912947630213;-0.680808878622358;1.95863477388278;0.0733178792362539;1.95863477388278;-0.303745499693052;-0.303745499693052;-0.680808878622358;-1.62346732594562;-0.492277189157705;-0.115213810228399;-0.869340568087011;0.0733178792362539;-0.492277189157705;0.0733178792362539;-0.115213810228399;1.77010308441813
себя;1.51524455238642;0.873493918434523;0.392180942970602;-0.570445007957239;0.713056259946549;0.0713056259946549;0.231743284482628;1.51524455238642;0.231743284482628;-0.891320324933186;-0.570445007957239;-1.69350861737305;-0.249569690981292;-2.014383934349;-0.249569690981292;-0.730882666445213;0.0713056259946549;1.35480689389844
без;-0.687842598665989;0.0491316141904279;-0.614145177380347;-0.319355492237781;0.122829035476069;-0.614145177380347;-0.908934862522914;-1.20372454766548;-0.982632283808556;0.270223878047353;-0.245658070952139;0.122829035476069;1.81786972504583;2.1126594101884;2.03896198890275;-0.171960649666497;-0.393052913523422;-0.393052913523422
сказать;-1.37475556075905;-1.37475556075905;-0.69679391435733;1.67607184804871;0.828619790046554;0.320148555245259;0.659129378446122;1.84556225964914;1.33709102484785;-1.03577473755819;-0.69679391435733;-1.03577473755819;-0.0188322679556036;-0.188322679556035;-0.0188322679556036;-0.357813091156466;0.659129378446122;-0.527303502756898
ходить;0.592604791111721;0.338631309206698;0.169315654603349;1.01589392762009;0.423289136508372;0.931236100318419;0.677262618413395;0.76192044571507;0.931236100318419;-1.52384089143014;-1.77781437333516;-1.69315654603349;-1.10055175492177;-0.677262618413395;-0.677262618413395;-0.169315654603349;1.35452523682679;0.423289136508372
зеленый;0.515913160071036;0.515913160071036;1.30962571402648;0.9921406924443;0.9921406924443;1.15088320323539;0.277799393884404;0.19842813848886;0.039685627697772;-1.54773948021311;-1.54773948021311;-1.46836822481756;-0.833398181653211;-0.992140692444299;-0.992140692444299;-0.039685627697772;1.30962571402648;0.119056883093316
идти;-0.531456782681411;-0.87931940407288;-0.270559816637809;0.599096736840864;0.773028047536598;0.859993702884465;0.859993702884465;1.12089066892807;0.773028047536598;-0.966285059420747;-1.22718202546435;-0.531456782681411;-1.48807899150795;-1.22718202546435;-1.05325071476861;1.64268460101527;0.512131081492996;1.0339250135802
жить;-0.747634212767028;-0.592951272194539;-0.747634212767028;0.180463430667903;-0.283585391049562;0.335146371240392;-0.438268331622051;-0.438268331622051;-0.128902450477074;0.335146371240392;-1.52104891562947;-0.747634212767028;2.34602459868274;1.41792695524781;0.180463430667903;-0.128902450477074;1.88197577696528;-0.902317153339516
жена;0.801987898036958;1.22449859553935;0.872406347620691;1.29491704512309;0.37947720053456;0.661150998869492;-0.395125744886501;-0.747217992805165;-0.535962644053967;-1.16972869030756;-1.09931024072383;-1.2401471398913;-1.09931024072383;-1.0288917911401;-1.0288917911401;0.942824797204423;1.36533549470682;0.801987898036958
добрый;-0.279457131112026;0.391239983556836;-0.279457131112026;-0.0558914262224053;0.279457131112026;-0.0558914262224053;0.167674278667216;0.279457131112026;-0.726588540891268;-1.39728565556013;-1.62085136044975;-1.95619991778418;0.055891426222405;0.726588540891268;0.055891426222405;2.06798277022899;1.17371995067051;1.17371995067051
становиться;0.643728361411084;1.06253958449781;0.504124620382174;1.62095454861345;0.783332102439994;1.34174706655563;0.504124620382174;-0.891912789906924;-1.03151653093583;-0.891912789906924;-1.17112027196474;-1.58993149505147;0.0853133972954447;-0.473101566820194;-1.31072401299365;0.643728361411084;0.783332102439994;-0.612705307849104
